landscape_id;landscape;year;age_enclos;habitat;site_id;season;season_site_id;bird_rich;dec_long;dec_lat;tot_strata;plant_rich_tot;Shannon_vertical;herb_cov;herb_height;max.NDVI.50;max.NDVI.500;nb_houses;diff.max.NDVI.500
53C_10;53C;2010;13;enclos;53C_10_enclos;post rainy;post rainy_53C_10_enclos;25;-1.269291;12.683528;21;7;1.291209434;50;90;0.717;0.511;0;0.284
53C_10;53C;2010;13;open;53C_10_open;post rainy;post rainy_53C_10_open;19;-1.267647;12.681565;7;2;0.598269589;80;70;0.465;0.511;0;0.284
53C_10;53C;2010;13;woody;53C_10_woody;post rainy;post rainy_53C_10_woody;19;-1.269006;12.689006;36;6;0.797247823;10;20;0.325;0.511;0;0.284
54C_10;54C;2010;13;enclos;54C_10_enclos;post rainy;post rainy_54C_10_enclos;21;-1.27765;12.691397;9;6;1.310783678;80;50;0.632;0.416;41;0.244
54C_10;54C;2010;13;open;54C_10_open;post rainy;post rainy_54C_10_open;22;-1.27719;12.695294;2;2;0.693147181;5;30;0.13;0.416;41;0.244
54C_10;54C;2010;13;woody;54C_10_woody;post rainy;post rainy_54C_10_woody;21;-1.275575;12.691729;19;7;1.010209947;60;50;0.628;0.416;41;0.244
64C_11;64C;2011;12;enclos;64C_11_enclos;post rainy;post rainy_64C_11_enclos;28;-1.754913;12.537595;32;8;1.051458527;100;100;0.678;0.534;57;0.327
64C_11;64C;2011;12;open;64C_11_open;post rainy;post rainy_64C_11_open;25;-1.754234;12.535206;19;5;1.087074156;60;70;0.632;0.534;57;0.327
64C_11;64C;2011;12;woody;64C_11_woody;post rainy;post rainy_64C_11_woody;20;-1.752502;12.537166;27;5;1.188009244;10;10;0.507;0.534;57;0.327
65C_11;65C;2011;12;enclos;65C_11_enclos;post rainy;post rainy_65C_11_enclos;24;-1.738483;12.488278;23;7;1.075027463;70;200;0.62;0.504;59;0.296
65C_11;65C;2011;12;open;65C_11_open;post rainy;post rainy_65C_11_open;17;-1.736484;12.489264;14;4;0.89820534;40;20;0.431;0.504;59;0.296
65C_11;65C;2011;12;woody;65C_11_woody;post rainy;post rainy_65C_11_woody;19;-1.735566;-12.4888;22;7;1.382156419;80;60;0.458;0.504;59;0.296
66C_11;66C;2011;12;enclos;66C_11_enclos;post rainy;post rainy_66C_11_enclos;18;-1.730113;12.493317;19;8;1.017164351;70;60;0.651;0.559;38;0.335
66C_11;66C;2011;12;open;66C_11_open;post rainy;post rainy_66C_11_open;17;-1.731873;12.490795;7;4;0.955699891;50;50;0.481;0.559;38;0.335
66C_11;66C;2011;12;woody;66C_11_woody;post rainy;post rainy_66C_11_woody;19;-1.728476;12.490522;29;10;1.327131432;70;50;0.565;0.559;38;0.335
67C_11;67C;2011;12;enclos;67C_11_enclos;post rainy;post rainy_67C_11_enclos;24;-1.746732;12.56292;41;12;1.161836654;40;120;0.699;0.485;0;0.296
